90;"FISCAL DE PONTO ELETRONICO";3;"414210";0;16/04/10;16/04/10;16/04/10;?;0;1;1;1;2;"";"";"lucimar";16/04/10;"083742";"";"";?;?;no;no;0;0;0;0;1
91;"SUPERVISOR DE TRATOS CULTURAIS";3;"620105";0;02/06/10;02/06/10;02/06/10;?;0;1;1;1;2;"";"";"ELLEN";02/06/10;"093046";"";"";?;?;no;no;0;0;0;0;1
92;"SUPERVISOR DE MÃO DE OBRA";3;"620105";0;02/06/10;02/06/10;02/06/10;?;0;1;1;1;2;"";"";"ELLEN";02/06/10;"093727";"";"";?;?;no;no;0;0;0;0;1
93;"FISCAL DE TRATOS CULTURAIS";3;"620105";0;02/06/10;02/06/10;02/06/10;?;0;1;1;1;2;"";"";"ELLEN";02/06/10;"094456";"";"";?;?;no;no;0;0;0;0;1
94;"AJUDANTE DE ALMOXARIFADO";3;"414105";0;09/06/10;09/06/10;09/06/10;?;0;1;1;1;1;"";"";"lucimar";09/06/10;"080443";"";"";?;?;no;no;0;0;0;0;1
95;"AJ. GERAL/OFICINA";3;"622110";0;28/09/10;28/09/10;28/09/10;?;0;1;1;1;2;"";"";"ELLEN";28/09/10;"150720";"";"";?;?;no;no;0;0;0;0;1
96;"AJUDANTE GERAL";3;"622110";0;29/10/15;29/10/15;29/10/15;?;0;1;1;1;2;"";"";"lucimar";29/10/15;"085221";"";"";?;?;no;no;0;0;0;0;1
97;"AJ. GERAL/QUEIMA";3;"622110";0;11/08/10;11/08/10;11/08/10;?;0;1;1;1;2;"";"";"lucimar";11/08/10;"093451";"";"";?;?;no;no;0;0;0;0;1
98;"AJ. GERAL/CONTROLE DE PRAGAS";3;"622110";0;11/08/10;11/08/10;11/08/10;?;0;1;1;1;2;"";"";"lucimar";11/08/10;"094129";"";"";?;?;no;no;0;0;0;0;1
99;"AJ. GERAL/COMBOIO";3;"622110";0;29/09/10;29/09/10;29/09/10;?;0;1;1;1;2;"";"";"ELLEN";29/09/10;"140539";"";"";?;?;no;no;0;0;0;0;1
100;"ENCARREGADO DE TRANSPORTE";3;"620105";0;19/11/10;19/11/10;19/11/10;?;0;1;1;1;2;"";"";"fabiano";19/11/10;"153838";"";"";?;?;no;no;0;0;0;0;1
101;"ENCARREGADO DE COLHEDORA";3;"620105";0;05/04/11;05/04/11;05/04/11;?;0;1;1;1;1;"";"";"lucimar";05/04/11;"144158";"";"";?;?;no;no;0;0;0;0;1
102;"GERENTE REC MANUT E CONTROL";3;"142705";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;1;"";"";"gmoreno";09/10/19;"163209";"";"";?;?;no;no;0;0;0;0;1
103;"SERVIÇOS GERAIS - DOMESTICOS";3;"512105";0;14/07/11;14/07/11;14/07/11;?;0;1;1;1;1;"";"";"LUCIMAR";14/07/11;"100025";"";"";?;?;no;no;0;0;0;0;1
